recipe_link,name,prep,cook,additional,total,servings,yield,ingredients,instructions,nutrition
https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/,Good Old Fashioned Pancakes Recipe,5 mins,15 mins,,20 mins,8,8 servings,"1 ½ cups all-purpose flour, 3 ½ teaspoons baking powder, ¼ teaspoon salt, or more to taste, 1 tablespoon white sugar, 1 ¼ cups milk, 1 egg, 3 tablespoons butter, melted","In a large bowl, sift together the flour, baking powder, salt and sugar. Make a well in the center and pour in the milk, egg and melted butter; mix until smooth. Heat a lightly oiled griddle or frying pan over medium-high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Brown on both sides and serve hot.",158 calories; protein 4.5g; carbohydrates 21.7g; fat 5.9g; cholesterol 37.7mg; sodium 503.6mg.
https://www.allrecipes.com/recipe/16383/basic-crepes/,Basic Crepes Recipe,10 mins,20 mins,,30 mins,4,8 crepes,"1 cup all-purpose flour, 2 eggs, ½ cup milk, ½ cup water, ¼ teaspoon salt, 2 tablespoons butter, melted","In a large mixing bowl, whisk together the flour and the eggs. Gradually add in the milk and water, stirring to combine. Add the salt and butter; beat until smooth. Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each crepe. Tilt the pan with a circular motion so that the batter coats the surface evenly. Cook the crepe for about 2 minutes, until the bottom is light brown. Loosen with a spatula, turn and cook the other side. Serve hot.",216 calories; protein 7.4g; carbohydrates 25.5g; fat 9.2g; cholesterol 110.7mg; sodium 235.3mg.
https://www.allrecipes.com/recipe/24571/caramelized-french-toast/,Caramelized French Toast Recipe,10 mins,20 mins,,30 mins,8,8 servings,"4 tablespoons butter, divided, 6 eggs, ½ cup milk, ⅛ teaspoon salt, 8 slices bread, 1 cup brown sugar, ½ cup water","Melt two tablespoons of butter in a frying pan or skillet over medium high heat. Beat together eggs, milk and salt. Dip bread one at a time into egg mixture and fry until light brown and egg is cooked. After 4 slices of bread have been cooked, melt remaining 2 tablespoons butter. Cook remaining bread slices until light brown on both sides and egg is cooked. After all bread slices have been cooked and removed from pan, add brown sugar to pan. Stir until melted and sticky. Add water and stir. Place French toast in caramel sauce. Turn to coat, then remove from pan. Serve.",248 calories; protein 7.2g; carbohydrates 31.4g; fat 10.6g; cholesterol 156mg; sodium 311.8mg.
https://www.allrecipes.com/recipe/258117/quick-crispy-home-fries/,Quick & Crispy Home Fries,10 mins,15 mins,20 mins,45 mins,2,2 servings,"3 large russet potatoes, peeled and quartered, 2 tablespoons olive oil, 1 tablespoon butter, Salt and freshly ground black pepper to taste, ¼ teaspoon paprika, cayenne pepper to taste, 1 pinch garlic powder, 1 pinch onion powder, 1 tablespoon Chopped fresh chives","Arrange potato pieces evenly on a microwave-safe plate. Microwave on high until just tender, about 4 minutes. Let cool to room temperature. Cut potatoes into bite-size chunks. Heat butter and olive oil in a non-stick skillet over medium-high heat. When butter melts and starts to turn brown, swirl the pan and add the potatoes. Shake pan to arrange in an even layer. Season with salt, pepper, paprika, garlic powder, and onion powder. As potatoes brown, toss them and keep turning them every few minutes until they are crusty and crispy-edged and a rich reddish-brown color, 10 to 12 minutes. If potatoes seem to be cooking too quickly, reduce heat to medium. Serve topped with chopped chives.",613 calories; protein 12.1g; carbohydrates 101.1g; fat 19.8g; cholesterol 15.3mg; sodium 146.9mg.
https://www.allrecipes.com/recipe/6698/moms-zucchini-bread/,Mom's Zucchini Bread Recipe,20 mins,1 hr,20 mins,1 hr 40 mins,24,2 loaves,"3 cups all-purpose flour, 1 teaspoon salt, 1 teaspoon baking soda, 1 teaspoon baking powder, 1 tablespoon ground cinnamon, 3 eggs, 1 cup vegetable oil, 2 ¼ cups white sugar, 3 teaspoons vanilla extract, 2 cups grated zucchini, 1 cup chopped walnuts","Grease and flour two 8 x 4 inch pans. Preheat oven to 325 degrees F (165 degrees C). Sift flour, salt, baking powder, soda, and cinnamon together in a bowl. Beat eggs, oil, vanilla, and sugar together in a large bowl. Add sifted ingredients to the creamed mixture, and beat well. Stir in zucchini and nuts until well combined. Pour batter into prepared pans. Bake for 40 to 60 minutes, or until tester inserted in the center comes out clean. Cool in pan on rack for 20 minutes. Remove bread from pan, and completely cool.",255 calories; protein 3.3g; carbohydrates 32.1g; fat 13.1g; cholesterol 23.3mg; sodium 179.8mg.
https://www.allrecipes.com/recipe/214947/perfect-summer-fruit-salad/,Perfect Summer Fruit Salad Recipe,25 mins,5 mins,3 hrs,3 hrs 30 mins,10,10 servings,"⅔ cup fresh orange juice, ⅓ cup fresh lemon juice, ⅓ cup packed brown sugar, ½ teaspoon grated orange zest, ½ teaspoon grated lemon zest, 1 teaspoon vanilla extract, 2 cups cubed fresh pineapple, 2 cups strawberries, hulled and sliced, 3 kiwi fruit, peeled and sliced, 3 bananas, sliced, 2 oranges, peeled and sectioned, 1 cup seedless grapes, 2 cups blueberries","Bring orange juice, lemon juice, brown sugar, orange zest, and lemon zest to a boil in a saucepan over medium-high heat. Reduce heat to medium-low, and simmer until slightly thickened, about 5 minutes. Remove from heat, and stir in vanilla extract. Set aside to cool. Layer the fruit in a large, clear glass bowl in this order: pineapple, strawberries, kiwi fruit, bananas, oranges, grapes, and blueberries. Pour the cooled sauce over the fruit. Cover and refrigerate for 3 to 4 hours before serving.",155 calories; protein 1.8g; carbohydrates 39g; fat 0.6g; sodium 4.7mg.
https://www.allrecipes.com/recipe/216756/baked-ham-and-cheese-party-sandwiches/,Baked Ham and Cheese Sliders Recipe,15 mins,20 mins,,35 mins,24,24 servings,"¾ cup melted butter, 1 ½ tablespoons Dijon mustard, 1 ½ teaspoons Worcestershire sauce, 1 ½ tablespoons poppy seeds, 1 tablespoon dried minced onion, 24 mini sandwich rolls, 1 pound thinly sliced cooked deli ham, 1 pound thinly sliced Swiss cheese","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish. In a bowl, mix together butter, Dijon mustard, Worcestershire sauce, poppy seeds, and dried onion. Separate the tops from bottoms of the rolls, and place the bottom pieces into the prepared baking dish. Layer about half the ham onto the rolls. Arrange the Swiss cheese over the ham, and top with remaining ham slices in a layer. Place the tops of the rolls onto the sandwiches. Pour the mustard mixture evenly over the rolls. Bake in the preheated oven until the rolls are lightly browned and the cheese has melted, about 20 minutes. Slice into individual rolls through the ham and cheese layers to serve.",208 calories; protein 9.8g; carbohydrates 10.8g; fat 14g; cholesterol 43.4mg; sodium 439.2mg.
https://www.allrecipes.com/recipe/241707/joys-easy-banana-bread/,Joy's Easy Banana Bread Recipe,15 mins,1 hr,,1 hr 15 mins,10,1 9x5-inch loaf,"3 ripe bananas, mashed, 1 cup white sugar, 1 egg, ¼ cup melted butter, 1 ½ cups all-purpose flour, 1 teaspoon baking soda, 1 teaspoon salt","Preheat oven to 325 degrees F (165 degrees C). Grease a 9x5-inch loaf pan. Combine bananas, sugar, egg, and butter together in a bowl. Mix flour and baking soda together in a separate bowl; stir into banana mixture until batter is just mixed. Stir salt into batter. Pour batter into the prepared loaf pan. Bake in the preheated oven until a toothpick inserted in the center of the bread comes out clean, about 1 hour.",225 calories; protein 3g; carbohydrates 42.4g; fat 5.4g; cholesterol 30.8mg; sodium 398.8mg.
https://www.allrecipes.com/recipe/20334/banana-pancakes-i/,Banana Pancakes Recipe,5 mins,10 mins,,15 mins,6,12 pancakes,"1 cup all-purpose flour, 1 tablespoon white sugar, 2 teaspoons baking powder, ¼ teaspoon salt, 1 egg, beaten, 1 cup milk, 2 tablespoons vegetable oil, 2 ripe bananas, mashed","Combine flour, white sugar, baking powder, and salt in a bowl. Mix together egg, milk, vegetable oil, and bananas in a second bowl. Stir flour mixture into banana mixture; batter will be slightly lumpy. Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Cook until pancakes are golden brown, 3 to 5 minutes per side. Serve hot.",193 calories; protein 5g; carbohydrates 29.2g; fat 6.6g; cholesterol 34.3mg; sodium 245.9mg.
https://www.allrecipes.com/recipe/162760/fluffy-pancakes/,Fluffy Pancakes Recipe,10 mins,10 mins,5 mins,25 mins,4,8 pancakes,"¾ cup milk, 2 tablespoons white vinegar, 1 cup all-purpose flour, 2 tablespoons white sugar, 1 teaspoon baking powder, ½ teaspoon baking soda, ½ teaspoon salt, 1 egg, 2 tablespoons butter, melted, cooking spray","Combine milk with vinegar in a medium bowl and set aside for 5 minutes to ""sour"". Combine flour, sugar, baking powder, baking soda, and salt in a large mixing bowl. Whisk egg and butter into ""soured"" milk. Pour the flour mixture into the wet ingredients and whisk until lumps are gone. Heat a large skillet over medium heat, and coat with cooking spray. Pour 1/4 cupfuls of batter onto the skillet, and cook until bubbles appear on the surface. Flip with a spatula, and cook until browned on the other side.",230 calories; protein 6.4g; carbohydrates 32.7g; fat 8.2g; cholesterol 65.4mg; sodium 649.6mg.
https://www.allrecipes.com/recipe/57783/emilys-famous-hash-browns/,Crispy Hash Browns Recipe,20 mins,15 mins,,35 mins,4,4 servings,"2 medium russet potatoes, shredded, ½ medium onion, finely chopped, ¼ cup all-purpose flour, 1 egg, 1 cup oil for frying, or as needed, salt and pepper to taste","Rinse shredded potatoes until water is clear, then drain and squeeze dry. Place shreds in a bowl and mix in the onion, flour, and egg until evenly distributed. Heat about 1/4 inch of oil in a large heavy skillet over medium-high heat. When oil is sizzling hot, place potatoes into the pan in a 1/2 inch thick layer. Cover the whole bottom of the pan, or make separate piles like pancakes. Cook until nicely browned on the bottom, then flip over and brown on the other side. It should take at least 5 minutes per side. If you are cooking them in one big piece, it can be cut into quarters for easier flipping. Remove from pan, and drain on paper towels. Season with salt and pepper and serve immediately.",183 calories; protein 4.7g; carbohydrates 26.1g; fat 6.9g; cholesterol 46.5mg; sodium 24.5mg.
https://www.allrecipes.com/recipe/222586/scrambled-egg-muffins/,Scrambled Egg Muffins Recipe,10 mins,20 mins,,30 mins,12,12 muffins,"½ pound bulk pork sausage, 12 eggs, ½ cup chopped onion, ½ cup chopped green bell pepper, or to taste, ½ teaspoon salt, ¼ teaspoon ground black pepper, ¼ teaspoon garlic powder, ½ cup shredded Cheddar cheese","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease 12 muffin cups or line with paper muffin liners. Heat a large skillet over medium-high heat. Stir in sausage and cook until crumbly, evenly browned, and no longer pink, 10 to 15 minutes. Drain off grease. Beat eggs in a large bowl. Stir in onion, green pepper, salt, pepper, and garlic powder. Mix in sausage and Cheddar cheese. Spoon into the prepared muffin cups. Bake in the preheated oven until a knife inserted near the center comes out clean, 20 to 25 minutes.",143 calories; protein 10.2g; carbohydrates 1.6g; fat 10.6g; cholesterol 201.7mg; sodium 364.8mg.
https://www.allrecipes.com/recipe/221261/peanut-butter-banana-smoothie/,Peanut Butter Banana Smoothie Recipe,5 mins,,,5 mins,4,4 servings,"2 bananas, broken into chunks, 2 cups milk, ½ cup peanut butter, 2 tablespoons honey, or to taste, 2 cups ice cubes","Place bananas, milk, peanut butter, honey, and ice cubes in a blender; blend until smooth, about 30 seconds.",335 calories; protein 12.8g; carbohydrates 34.1g; fat 18.8g; cholesterol 9.8mg; sodium 202.8mg.
https://www.allrecipes.com/recipe/266642/egg-bites/,Egg Bites Recipe,20 mins,25 mins,,45 mins,12,12 egg bites,"cooking spray, 5 small tri-color baby potatoes, thinly sliced, ¼ stick butter, 10 small eggs, 1 small tomato, finely chopped, 1 small yellow bell pepper, finely chopped, ½ cup fresh spinach, ¼ cup chopped ham, ¼ cup chopped white onion, 1 slice mozzarella cheese, cut into 12 cubes","Preheat the oven to 350 degrees F (175 degrees C). Spray a 12-cup muffin tin with nonstick cooking spray. Place a thin layer of potato slices in the bottom of each muffin cup. Add a little butter on top. Bake in the preheated oven for 5 minutes. Mix eggs, tomato, bell pepper, spinach, ham, and onion together in a large bowl. Remove muffin tin from oven and ladle the egg mixture over the potatoes. Top each muffin cup with a mozzarella cube. Continue baking until egg bites are set, about 20 minutes.",108 calories; protein 6g; carbohydrates 8g; fat 6g; cholesterol 122.9mg; sodium 111.3mg.
https://www.allrecipes.com/recipe/272698/worlds-best-lemon-blueberry-muffins/,World's Best Lemon Blueberry Muffins Recipe,15 mins,30 mins,10 mins,55 mins,16,16 muffins,"3 ¼ cups all-purpose flour, 4 teaspoons baking powder, 1 teaspoon baking soda, ½ teaspoon salt, 1 ⅓ cups white sugar, 1 ¼ cups milk, 1 cup sour cream, ½ cup melted butter, 2 large eggs, 1 tablespoon lemon zest, 1 ½ cups frozen blueberries","Preheat the oven to 350 degrees F (175 degrees C). Line 16 muffin cups with paper liners. Sift flour, baking powder, baking soda, and salt together in a bowl. Combine sugar, milk, sour cream, butter, eggs, and lemon zest in a large bowl. Beat with an electric mixer on low speed until blended. Fold in the flour mixture until batter is just moistened. Fold in blueberries; avoid overmixing because batter will turn purple. Fill muffin cups 3/4 full of batter. Bake in the preheated oven until golden brown, 30 to 35 minutes. Let cool for 10 minutes.",265 calories; protein 4.6g; carbohydrates 39.7g; fat 10.1g; cholesterol 46.4mg; sodium 339mg.
https://www.allrecipes.com/recipe/272293/fluffy-microwave-scrambled-eggs/,Fluffy Microwave Scrambled Eggs Recipe,5 mins,5 mins,,10 mins,2,2 servings,"4 eggs, ¼ cup milk, ⅛ teaspoon salt","Break the eggs into a microwave-proof mixing bowl. Add milk and salt; mix well. Pop the bowl into the microwave and cook on high power for 30 seconds. Remove bowl, beat eggs very well, scraping down the sides of the bowl, and return to the microwave for another 30 seconds. Repeat this pattern, stirring every 30 seconds for up to 2 1/2 minutes. Stop when eggs have the consistency you desire.",141 calories; protein 12.1g; carbohydrates 2.1g; fat 9.3g; cholesterol 329.8mg; sodium 281mg.
https://www.allrecipes.com/recipe/79470/simple-scones/,Simple Scones Recipe,15 mins,15 mins,5 mins,35 mins,8,8 scones,"2 cups all-purpose flour, ⅓ cup sugar, 1 teaspoon baking powder, ½ teaspoon salt, ¼ teaspoon baking soda, 8 tablespoons unsalted butter, frozen, ½ cup raisins (or dried currants), ½ cup sour cream, 1 large egg, 1 teaspoon white sugar","Preheat the oven to 400 degrees F (200 degrees C); adjust the oven rack to the lower-middle position. Line a baking tray with parchment paper. Mix flour, 1/3 cup sugar, baking powder, salt, and baking soda in a medium bowl. Grate butter into flour mixture on the large holes of a box grater. Use your fingers to work in butter until mixture resembles a coarse meal, then toss in raisins. Whisk sour cream and egg together in a small bowl until combined. Using a fork, stir sour cream mixture into flour mixture until large dough clumps form. Use your hands to shape dough into a ball. (Dough may seem dry at first but will come together as you work it.) Place dough on a lightly floured surface and pat into a 7- to 8-inch circle, about 3/4-inch thick. Sprinkle with remaining 1 teaspoon of sugar. Use a sharp knife to cut into 8 equal triangles; place on the prepared baking tray, about 1-inch apart. Bake scones in the preheated oven until golden, 15 to 17 minutes. Cool for 5 minutes; serve warm or at room temperature.",319 calories; protein 4.9g; carbohydrates 41.1g; fat 15.5g; cholesterol 60.1mg; sodium 249.3mg.
https://www.allrecipes.com/recipe/20876/crustless-spinach-quiche/,Crustless Spinach Quiche Recipe,15 mins,35 mins,,50 mins,6,1 9-inch quiche,"1 tablespoon vegetable oil, 1 medium onion, chopped, 1 (10 ounce) package frozen chopped spinach - thawed, drained, and squeezed dry, 5 large eggs, beaten, ¼ teaspoon salt, ⅛ teaspoon ground black pepper, 3 cups shredded Muenster cheese","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9-inch pie pan. Heat oil in a large skillet over medium-high heat. Add onions and cook, stirring occasionally, until soft, about 3 minutes. Stir in spinach and continue to cook until excess moisture has evaporated. Whisk together eggs, salt, and pepper in a large bowl. Add Muenster cheese and spinach mixture and stir until well blended. Pour into the prepared pan. Bake in the preheated oven until eggs have set, about 30 minutes. Remove from the oven and let cool for 10 minutes before serving.",310 calories; protein 20.4g; carbohydrates 4.8g; fat 23.7g; cholesterol 209.2mg; sodium 545.6mg.
https://www.allrecipes.com/recipe/20075/basic-biscuits/,Basic Biscuits Recipe,15 mins,10 mins,,25 mins,10,10 biscuits,"2 cups all-purpose flour, 1 tablespoon baking powder, ½ teaspoon salt, ½ cup shortening, ¾ cup cold milk","Preheat oven to 450 degrees F (230 degrees C). In a large mixing bowl sift together flour, baking powder and salt. Cut in shortening with fork or pastry blender until mixture resembles coarse crumbs. Pour milk into flour mixture while stirring with a fork. Mix in milk until dough is soft, moist and pulls away from the side of the bowl. Turn dough out onto a lightly floured surface and knead dough briefly, 5 to 7 times. Roll dough out into a 1/2 inch thick sheet and cut out biscuits with a floured cookie cutter. Press together unused dough and repeat rolling and cutting procedure. Place biscuits on ungreased baking sheets and bake in preheated oven until golden brown, about 10 minutes.",191 calories; protein 3.2g; carbohydrates 20.2g; fat 10.9g; cholesterol 1.5mg; sodium 225mg.
https://www.allrecipes.com/recipe/16895/fluffy-french-toast/,Fluffy French Toast Recipe,10 mins,20 mins,,30 mins,12,12 slices,"¼ cup all-purpose flour, 1 cup milk, 3 eggs, 1 tablespoon white sugar, 1 teaspoon vanilla extract, ½ teaspoon ground cinnamon, 1 pinch salt, 12 thick slices bread","Measure flour into a large mixing bowl. Slowly whisk in milk. Whisk in eggs, sugar, vanilla extract, cinnamon, and salt until smooth. Heat a lightly oiled griddle or frying pan over medium heat. Soak bread slices in milk mixture until saturated. Working in batches, cook bread on the preheated griddle or pan until golden brown on each side. Serve hot.",123 calories; protein 4.8g; carbohydrates 19.4g; fat 2.7g; cholesterol 48.1mg; sodium 230.2mg.
https://www.allrecipes.com/recipe/241925/super-easy-egg-casserole/,Super Easy Egg Casserole Recipe,15 mins,20 mins,,35 mins,4,1 9x13-inch casserole,"1 cup shredded Cheddar cheese, 6 eggs, whisked, 6 slices bacon, diced, 2 slices bread, cubed, ⅓ red bell pepper, diced, 2 green onions, chopped, 3 tablespoons milk, ½ teaspoon minced garlic, or to taste (Optional), salt and ground black pepper to taste","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish. Stir together cheese, eggs, bacon, bread, red bell pepper, green onion, milk, garlic, salt, and black pepper in a bowl until well-combined; pour into the prepared baking dish. Bake in the preheated oven until eggs are set, 20 to 25 minutes.",340 calories; protein 23.2g; carbohydrates 9.3g; fat 23.2g; cholesterol 324.7mg; sodium 728.3mg.
